Date,Open,High,Low,Adj. Close,Volume
31-Dec-18,318.9,322.02,317.16,320.89,"3,557,691"
28-Dec-18,318.14,319.92,313.57,314.8,"3,725,171"
27-Dec-18,307.5,315.55,300.73,315.55,"4,341,113"
26-Dec-18,297.12,312.52,291.01,312.36,"4,843,401"
24-Dec-18,299.15,301.49,292.69,292.69,"3,435,304"
21-Dec-18,307.55,313.4,302.49,303.03,"7,641,721"
20-Dec-18,315.42,320.21,306.46,311.49,"5,368,592"
19-Dec-18,327.68,331.81,314.52,317.95,"4,871,468"
18-Dec-18,323.83,330.43,321.58,326.42,"5,881,140"
17-Dec-18,315.33,325.58,312.87,314.55,"4,968,366"
14-Dec-18,320.84,322.29,313.98,317.16,"3,298,436"
13-Dec-18,326.76,327.1,322.55,323.84,"2,247,706"
12-Dec-18,325.74,330.24,323.04,325.06,"3,424,818"
11-Dec-18,331.58,332.82,317.16,320.42,"3,566,436"
10-Dec-18,319.66,325.56,313.93,324.72,"4,400,518"
7-Dec-18,330.69,335.92,319.78,321.6,"4,526,264"
6-Dec-18,328.34,331.96,315.71,330.24,"9,297,449"
4-Dec-18,355.22,356.53,340.03,340.79,"5,199,096"
3-Dec-18,362.49,367.16,354.59,358.16,"6,573,387"
30-Nov-18,340.23,345.84,335.81,345.03,"5,373,981"
29-Nov-18,334.29,341.51,332.39,340.85,"5,331,919"
28-Nov-18,324.09,332.34,320.12,331.83,"6,117,572"
27-Nov-18,313.7,316.97,309.41,316.44,"2,946,391"
26-Nov-18,313.98,317,309.11,314.78,"3,362,345"
23-Nov-18,313.43,315.42,310.31,310.76,"1,599,381"
21-Nov-18,323.45,325.26,313.99,315.73,"4,401,044"
20-Nov-18,300.59,320.57,295.13,316.11,"6,875,884"
19-Nov-18,333.87,334.36,315.61,319.34,"6,782,767"
16-Nov-18,337.31,338.49,329.5,334.27,"4,425,161"
15-Nov-18,339.41,346.24,334.83,339.86,"4,863,046"
14-Nov-18,350.33,354.07,342.17,343,"3,445,838"
13-Nov-18,347.8,353.6,340.33,347.76,"4,959,999"
12-Nov-18,368.36,368.63,354.21,355.25,"3,088,654"
9-Nov-18,365.99,369.15,364.29,367.49,"2,590,303"
8-Nov-18,367.48,371.83,363.72,368.92,"2,752,001"
8-Nov-18,1.71 Dividend,,,,
7-Nov-18,364.12,369.28,356.06,368.46,"4,015,255"
6-Nov-18,358.94,364.91,358.64,362.96,"2,471,898"
5-Nov-18,356.32,359.81,353.07,358.52,"2,253,943"
2-Nov-18,363.46,367.98,353.35,354.33,"4,029,826"
1-Nov-18,354.05,361.08,349.82,359.59,"3,760,650"
31-Oct-18,349.14,359.93,349.14,351.46,"4,175,570"
30-Oct-18,327.19,347.69,326.62,346.56,"5,773,971"
29-Oct-18,357.1,358.25,325.48,332.38,"7,461,953"
26-Oct-18,357.25,359.82,350.73,355.83,"4,073,415"
25-Oct-18,353.88,360.9,351.57,360.29,"4,003,484"
24-Oct-18,358.13,361.11,348.32,351.26,"8,442,563"
23-Oct-18,346.15,350.18,339.54,346.7,"4,389,559"
22-Oct-18,354.42,355.32,349.09,352.57,"2,263,527"
19-Oct-18,356.36,356.43,350.81,352.85,"3,491,612"
18-Oct-18,361.33,364.24,353.35,355.91,"3,254,902"
17-Oct-18,364.48,364.97,359.23,362,"2,238,186"
16-Oct-18,357,365.04,355.12,364.73,"2,822,482"
15-Oct-18,356.02,359.08,352.1,355.44,"2,979,835"
12-Oct-18,362.51,363.61,348.89,356.66,"5,509,720"
11-Oct-18,359.96,366.31,351.7,354.68,"6,266,751"
10-Oct-18,379.29,380.13,363.58,363.95,"6,033,088"
9-Oct-18,380.69,383.12,377.49,381.75,"2,862,707"
8-Oct-18,380.17,383.03,373.74,382.08,"3,324,019"
5-Oct-18,385.28,388.63,379.36,382.77,"2,899,663"
4-Oct-18,387,387.35,381.6,386.26,"3,822,324"
3-Oct-18,385.18,390.51,382.99,388.54,"4,794,263"
2-Oct-18,377.2,384.9,376.13,382.67,"4,622,595"
1-Oct-18,371.57,379.54,371.41,378.63,"4,758,417"
28-Sep-18,365.1,370.64,362.71,368.34,"3,600,472"
27-Sep-18,364.87,365.44,360.91,363.87,"2,355,918"
26-Sep-18,363.98,365.03,360.83,361.54,"2,368,637"
25-Sep-18,365.55,366.91,363.37,363.71,"2,969,159"
24-Sep-18,367.45,368.33,363.81,364.47,"2,800,161"
21-Sep-18,365.86,369,362.55,368.67,"7,144,087"
20-Sep-18,365.21,368.17,362.17,363.94,"4,011,062"
19-Sep-18,360.1,367.68,359.71,361.72,"4,753,410"
18-Sep-18,353.88,362.31,352.69,360.1,"3,003,512"
17-Sep-18,355.84,357.84,351.15,352.55,"2,554,461"
14-Sep-18,353.03,358.79,352.69,356.36,"2,835,757"
13-Sep-18,352.95,356.97,350.91,352.06,"3,169,312"
12-Sep-18,341.7,351.64,341.31,350.03,"4,003,834"
11-Sep-18,335.76,343.3,334.08,341.95,"2,731,777"
10-Sep-18,346.14,347.39,338.41,338.59,"3,065,489"
7-Sep-18,345.48,346.66,341.16,345.94,"3,921,887"
6-Sep-18,344.22,349.97,343.26,347.91,"3,585,876"
5-Sep-18,342.46,343.93,339.88,343.36,"2,959,269"
4-Sep-18,338.33,343.01,336.03,342.94,"2,699,402"
31-Aug-18,341.75,342.54,338.31,339.51,"3,462,692"
30-Aug-18,347,347.59,342.44,343.58,"3,257,668"
29-Aug-18,348.89,348.98,345.87,346.84,"1,850,054"
28-Aug-18,351.6,352.28,347.25,347.85,"2,475,095"
27-Aug-18,348.74,351.6,347.65,350.35,"2,279,949"
24-Aug-18,345.43,347.27,344.77,346.04,"1,954,540"
23-Aug-18,345.81,346.93,342.16,344.15,"1,833,449"
22-Aug-18,350.93,352.46,346.49,346.68,"2,682,942"
21-Aug-18,347.64,351.06,346.28,350.38,"2,967,175"
20-Aug-18,345.26,349.23,343.78,347.38,"3,018,615"
17-Aug-18,342.69,345.16,338.4,343.08,"3,069,190"
16-Aug-18,335.81,344.39,335.06,342.67,"5,867,939"
15-Aug-18,333.35,333.92,324.89,328.58,"3,798,600"
14-Aug-18,335.87,336.89,334.39,335.89,"2,017,276"
13-Aug-18,336.35,338.87,334.11,335.12,"1,877,248"
10-Aug-18,337.74,337.74,333.23,336.16,"2,745,697"
9-Aug-18,342.76,343.52,339.84,340.43,"2,302,126"
9-Aug-18,1.71 Dividend,,,,
8-Aug-18,345.44,346.54,341.25,342.76,"2,334,439"
7-Aug-18,343.02,347.03,340.51,345.69,"2,267,560"
6-Aug-18,342.35,342.35,338.16,341.56,"3,251,105"
3-Aug-18,344.45,345.92,340.68,343.41,"2,285,202"
2-Aug-18,343.59,345.66,341.03,344.68,"2,655,906"
1-Aug-18,348.98,352.74,345.44,347.67,"2,718,206"
31-Jul-18,349.26,353.84,348.95,351.15,"2,728,366"
30-Jul-18,356.76,357.22,345.41,345.99,"3,080,445"
27-Jul-18,355.85,359.28,354.28,355.44,"2,916,341"
26-Jul-18,350.25,355,350.14,354.13,"3,191,189"
25-Jul-18,346.44,351.15,340.51,350.78,"7,353,046"
24-Jul-18,351.6,354.28,349.52,353.1,"3,181,965"
23-Jul-18,349.87,349.87,347.3,348.17,"1,943,747"
20-Jul-18,347.94,351.83,347.9,349.77,"1,817,836"
19-Jul-18,352.52,354.2,350.13,350.2,"2,711,744"
18-Jul-18,353.82,356.63,349.15,355.03,"3,091,444"
17-Jul-18,352.45,353.82,349.91,351.73,"2,732,768"
16-Jul-18,348.86,351.19,347.26,350.96,"2,889,033"
13-Jul-18,341.99,346.17,341.2,345.72,"2,281,610"
12-Jul-18,340.29,341.59,337.79,341.03,"2,030,678"
11-Jul-18,336.79,339.42,334.29,335.68,"3,056,866"
10-Jul-18,337.83,342.97,337.83,342.15,"3,281,299"
9-Jul-18,332.63,338.09,331.65,336.98,"3,128,698"
6-Jul-18,328.03,331.25,325.68,329.81,"2,138,262"
5-Jul-18,331.3,332.41,324.35,328.37,"2,427,866"
3-Jul-18,333.3,334.78,327.21,328.12,"1,464,360"
2-Jul-18,325.91,331.47,324.56,331.23,"2,820,817"
29-Jun-18,332.32,335.09,330.52,330.66,"3,154,812"
28-Jun-18,325.23,332.67,322.56,329.82,"3,347,973"
27-Jun-18,330.01,336.49,325,325.06,"4,578,908"
26-Jun-18,327.59,329.57,325.71,326.52,"3,112,387"
25-Jun-18,327.72,329.03,322.87,326.42,"5,006,203"
22-Jun-18,335.51,336.02,331.74,334.02,"3,298,084"
21-Jun-18,336.22,336.22,331.34,332.78,"4,048,336"
20-Jun-18,341,341.97,335.54,337.74,"4,539,988"
19-Jun-18,342.16,342.16,333.68,336.19,"6,857,338"
18-Jun-18,348.09,352.48,347.28,349.62,"3,363,221"
15-Jun-18,352.98,356.44,348.37,352.71,"9,945,956"
14-Jun-18,360.86,362.33,353.64,357.19,"4,039,532"
13-Jun-18,365.32,365.64,358.04,358.6,"3,867,642"
12-Jun-18,365.88,367.34,362.68,365.27,"2,440,354"
11-Jun-18,365.64,367.94,363.47,365.58,"2,468,521"
8-Jun-18,362.82,366.06,360.18,364.16,"3,292,875"
7-Jun-18,366.63,369.07,360.76,363.21,"4,517,844"
6-Jun-18,357.23,366.23,355.78,366.19,"4,488,412"
5-Jun-18,355.29,358.12,353.67,354.9,"2,567,758"
4-Jun-18,353.79,358.14,353.67,355.52,"2,950,284"
1-Jun-18,350.65,352.98,349.34,351.57,"2,657,837"
31-May-18,351.68,351.68,346.54,347.07,"4,406,277"
30-May-18,350.51,353.74,348.99,353.02,"2,825,188"
29-May-18,352.54,355.76,345.6,347.39,"4,249,593"
25-May-18,352.95,355.39,351.89,354.89,"2,463,737"
24-May-18,353.27,355.45,349.25,353.82,"3,932,085"
23-May-18,347.19,354.41,346.54,354.02,"4,497,516"
22-May-18,358.74,359.58,349.4,349.89,"5,389,360"
21-May-18,353.28,359.73,353.27,358.66,"6,785,369"
18-May-18,340.61,346.97,340.2,346.16,"4,327,659"
17-May-18,335.55,339.79,335.34,339.17,"2,483,301"
16-May-18,337.06,338.6,335.39,336.05,"2,230,068"
15-May-18,338.05,338.88,335.35,337.18,"3,009,053"
14-May-18,339.03,342.72,338.92,339.61,"2,520,267"
11-May-18,338.81,340.43,336.13,337.51,"2,332,170"
10-May-18,339.02,343.54,337.46,339.1,"3,920,357"
10-May-18,1.71 Dividend,,,,
