Date,Open,High,Low,Adj. Close,Volume
31-Dec-18,74.61,75.32,74,75.21,"2,542,879"
28-Dec-18,75.06,75.61,73.85,74.28,"2,480,992"
27-Dec-18,72.74,74.61,71.72,74.61,"3,261,288"
26-Dec-18,70.69,74.03,69.55,74.03,"3,156,359"
24-Dec-18,70.92,72.52,70.39,70.42,"1,749,836"
21-Dec-18,73.79,75.58,71.64,72.02,"4,942,496"
20-Dec-18,73.9,74.97,73.39,74.11,"4,242,831"
19-Dec-18,75.64,77.06,73.71,74.29,"3,585,037"
18-Dec-18,77.4,77.74,74.91,75.82,"3,592,650"
17-Dec-18,77.91,78.45,76.07,76.52,"4,669,345"
14-Dec-18,79.17,80.82,78.13,78.33,"3,657,578"
13-Dec-18,81.67,81.97,79.6,79.98,"2,261,498"
12-Dec-18,82.14,82.9,81.31,81.62,"2,151,262"
11-Dec-18,83.2,83.43,80.48,80.95,"2,243,825"
10-Dec-18,82.69,82.84,79.91,82.03,"3,234,552"
7-Dec-18,84.11,85.21,81.48,82.25,"2,660,936"
6-Dec-18,82.76,84.25,81.44,84.18,"3,904,425"
4-Dec-18,89.65,89.73,83.88,84.46,"3,617,592"
3-Dec-18,90.21,91.14,88.67,90.01,"2,360,364"
30-Nov-18,88.06,89.42,87.96,89.23,"2,488,358"
29-Nov-18,89.13,89.47,87.99,88.42,"2,118,828"
28-Nov-18,88.08,89.95,87.21,89.95,"2,448,276"
27-Nov-18,87.36,88.16,87.03,87.74,"1,806,035"
26-Nov-18,86.42,87.89,86.17,87.52,"2,682,870"
23-Nov-18,85.32,86.04,84.89,85.2,"723,044"
21-Nov-18,85.78,87.29,85.28,86,"1,859,714"
20-Nov-18,86.79,86.92,85.08,85.57,"2,790,443"
19-Nov-18,87.48,87.74,86.39,87.29,"2,202,026"
16-Nov-18,88.07,88.32,86.99,87.2,"3,519,700"
15-Nov-18,87.79,89.03,87.09,88.71,"2,885,976"
14-Nov-18,90.31,90.98,87.55,88.47,"2,414,693"
13-Nov-18,89.13,90.5,88.88,89.45,"2,026,285"
12-Nov-18,89.99,90.43,88.48,88.67,"1,749,884"
9-Nov-18,89.81,90.53,89.42,89.94,"1,755,389"
8-Nov-18,89.45,91.02,89.35,90.4,"1,814,357"
8-Nov-18,0.40 Dividend,,,,
7-Nov-18,88.89,89.83,87.74,89.68,"2,045,441"
6-Nov-18,87.02,88.59,86.82,88.34,"2,894,810"
5-Nov-18,86.86,87.77,86.86,87.22,"4,166,800"
2-Nov-18,88.46,89,86.04,86.44,"4,372,869"
1-Nov-18,88.47,89.01,87.93,88.46,"2,128,800"
31-Oct-18,88.02,89.38,87.78,88.46,"3,450,299"
30-Oct-18,86.03,87.1,85.14,87.01,"2,824,698"
29-Oct-18,85.94,87.33,84.33,85.64,"4,185,153"
26-Oct-18,86.42,86.66,84.14,84.94,"3,918,036"
25-Oct-18,85.82,88.21,85.29,87.44,"4,032,941"
24-Oct-18,87.65,89.45,84.86,85.05,"6,766,217"
23-Oct-18,85.99,86.62,84.7,86.22,"6,864,388"
22-Oct-18,90.21,91,87.67,87.7,"2,655,969"
