Date,Open,High,Low,Adj. Close,Volume
31-Dec-18,101.82,102.91,101.23,102.23,"1,162,662"
28-Dec-18,101.69,102.75,100.63,101.23,"1,119,534"
27-Dec-18,98.29,101.43,98,101.42,"1,430,447"
26-Dec-18,95.84,99.3,94.41,99.27,"1,310,624"
24-Dec-18,96.04,98.09,95.35,95.6,"1,100,037"
21-Dec-18,97.36,99.52,96.28,96.32,"2,350,598"
20-Dec-18,97.48,98.94,96.05,97.07,"2,327,546"
19-Dec-18,97.93,99.67,95.82,96.43,"1,686,684"
18-Dec-18,97.8,98.67,96.27,96.7,"1,684,753"
17-Dec-18,100.03,100.49,96.57,97.13,"1,487,001"
14-Dec-18,99.94,100.83,97.58,100.14,"2,367,798"
13-Dec-18,103.65,104.15,100.48,100.9,"1,611,537"
12-Dec-18,104.02,104.8,103.42,103.46,"852,758"
11-Dec-18,105.15,105.75,102.6,103.04,"834,827"
10-Dec-18,103.13,103.83,101.12,103.46,"1,209,021"
7-Dec-18,106.17,107.54,102.6,103.23,"1,184,976"
6-Dec-18,105.44,105.82,103.2,105.79,"1,734,219"
4-Dec-18,110.42,110.73,106.54,106.73,"1,457,601"
3-Dec-18,110.38,111.42,109.32,110.56,"1,206,513"
30-Nov-18,108.24,109.99,108.24,109.33,"1,962,016"
29-Nov-18,108.28,109.42,107.76,108.47,"2,603,717"
28-Nov-18,106.05,107.72,104.51,107.64,"1,277,626"
27-Nov-18,106.72,107.29,105.44,105.8,"944,420"
26-Nov-18,108,108.14,106.83,107.34,"1,730,592"
23-Nov-18,106.07,108.08,105.99,107.29,"381,890"
21-Nov-18,106.6,108.39,106.34,106.81,"1,099,651"
20-Nov-18,106.34,106.68,104.86,105.88,"1,940,052"
19-Nov-18,107.36,108.71,106.85,107.7,"1,291,214"
16-Nov-18,106.62,108.02,105.85,107.17,"2,201,236"
15-Nov-18,104.69,107.73,104.01,107.08,"1,375,306"
14-Nov-18,105.2,106.68,104.68,105.35,"1,345,299"
13-Nov-18,105.64,105.98,104,104.31,"3,662,079"
12-Nov-18,107.7,107.92,105.23,105.4,"2,173,520"
9-Nov-18,108.2,108.59,106.36,107.71,"897,306"
8-Nov-18,108.52,108.95,105.72,108.67,"1,028,775"
8-Nov-18,0.48 Dividend,,,,
7-Nov-18,107.53,109.09,106.14,109.05,"1,299,850"
6-Nov-18,106.19,106.96,105.81,106.89,"934,568"
5-Nov-18,106.38,106.75,105.49,105.98,"1,474,760"
2-Nov-18,106.4,107.51,105.15,106.44,"1,315,515"
1-Nov-18,104.63,106.91,104.63,106.27,"1,476,945"
31-Oct-18,104.54,106.01,103.78,104.63,"2,594,975"
30-Oct-18,102.53,104.15,101.67,103.76,"3,070,712"
29-Oct-18,104.59,105.45,100.97,102.44,"4,258,480"
26-Oct-18,102.13,103.49,100.63,102.38,"2,826,003"
25-Oct-18,102.49,103.67,99.9,103.26,"4,542,162"
24-Oct-18,99.46,100.14,97.11,97.35,"2,990,873"
23-Oct-18,99.67,100.68,97.86,100.19,"3,073,917"
22-Oct-18,101.16,101.38,99.38,101.21,"3,851,986"
19-Oct-18,99.92,101.37,99.33,100.95,"3,417,055"
18-Oct-18,98.8,100.18,96.97,98.56,"3,516,142"
17-Oct-18,97.54,98.13,96.88,97.69,"2,665,326"
16-Oct-18,96.2,97.9,95.55,97.75,"1,854,272"
15-Oct-18,94.42,96.25,93.96,95.73,"2,355,171"
12-Oct-18,96.81,97.56,93.99,94.67,"2,449,328"
11-Oct-18,98.86,99.37,95.69,95.96,"2,762,338"
10-Oct-18,100.74,101.1,97.16,99.16,"5,162,663"
9-Oct-18,99.63,101.47,97.88,98.13,"10,425,672"
8-Oct-18,107.55,109.28,107.34,109.1,"1,310,213"
5-Oct-18,107.9,108.42,107.21,107.55,"868,227"
4-Oct-18,107.73,108.42,106.96,107.98,"1,294,913"
3-Oct-18,110.17,110.9,108.11,108.25,"2,440,536"
2-Oct-18,109.4,110.23,109.37,109.73,"1,314,699"
1-Oct-18,109.18,109.85,108.85,109.27,"1,338,100"
28-Sep-18,108.31,108.68,106.65,108.65,"2,456,710"
27-Sep-18,109.91,109.91,108.44,108.51,"1,806,862"
26-Sep-18,111.02,111.67,109.71,109.91,"1,425,295"
25-Sep-18,112.52,112.64,110.47,111.05,"1,628,990"
24-Sep-18,112.5,113.5,109.77,112.2,"2,396,472"
21-Sep-18,116,116.22,115.05,115.47,"3,487,372"
20-Sep-18,115.09,115.99,114.71,115.41,"1,259,860"
19-Sep-18,113.16,114.72,112.78,114.55,"1,529,656"
18-Sep-18,112.98,113.25,112.03,112.77,"998,051"
17-Sep-18,111.79,112.91,111.4,112.49,"1,414,751"
14-Sep-18,112.33,112.75,111.03,111.68,"1,316,114"
13-Sep-18,112.42,113.29,111.85,112.46,"1,032,818"
12-Sep-18,111.91,112.08,111.03,111.54,"1,214,651"
11-Sep-18,111.16,112.6,110.85,112.1,"1,288,553"
10-Sep-18,111.63,112.04,110.95,111.6,"984,589"
7-Sep-18,110.93,111.38,110.09,111.02,"859,531"
6-Sep-18,110.46,111.72,110.05,111.51,"1,297,299"
5-Sep-18,108.86,110.5,108.28,110.12,"1,633,091"
4-Sep-18,110.02,110.09,108.59,109.4,"924,571"
31-Aug-18,109.89,110.78,109.37,110.06,"956,903"
30-Aug-18,110.85,110.85,109.73,110.18,"887,546"
29-Aug-18,109.51,111.33,108.9,111.17,"1,406,500"
28-Aug-18,110.87,110.87,109.14,109.39,"1,505,748"
27-Aug-18,110.29,110.96,110.08,110.64,"1,137,263"
24-Aug-18,109.76,110.34,109.26,110.14,"869,002"
23-Aug-18,109.78,110.32,109.17,109.29,"1,389,865"
22-Aug-18,110.55,110.84,109.79,110.12,"1,271,904"
